id;start_date;end_date;language
1;2020-08-08T14:00:42;2020-08-08T11:50:57;SPANISH
2;2020-08-07T18:50:53;2020-08-08T13:55:18;SPANISH
3;2020-08-08T09:46:12;2020-08-07T20:20:21;FRENCH
4;2020-08-08T01:03:43;2020-08-08T12:35:09;FRENCH
5;2020-08-08T10:34:01;2020-08-08T15:21:00;FRENCH
6;2020-08-08T04:26:22;2020-08-08T16:34:36;FRENCH
7;2020-08-08T06:11:42;2020-08-08T00:02:33;FRENCH
8;2020-08-08T05:07:55;2020-08-08T15:24:03;SPANISH
9;2020-08-08T03:49:04;2020-08-08T00:30:27;SPANISH
10;2020-08-08T12:01:08;2020-08-07T22:35:38;SPANISH
